iter	Passed	Remaining
732	1475	537
733	1477	535
734	1478	533
735	1480	531
736	1482	528
737	1483	526
738	1485	524
739	1487	522
740	1489	520
741	1491	518
742	1492	516
743	1494	514
744	1496	512
745	1497	510
746	1499	507
747	1501	505
748	1503	503
749	1504	501
750	1506	499
751	1507	497
752	1509	495
753	1510	492
754	1512	490
755	1514	488
756	1515	486
757	1517	484
758	1518	482
759	1520	480
760	1521	477
761	1523	475
762	1524	473
763	1526	471
764	1528	469
765	1529	467
766	1531	465
767	1533	463
768	1534	460
769	1536	458
770	1537	456
771	1539	454
772	1541	452
773	1543	450
774	1544	448
775	1546	446
776	1548	444
777	1549	442
778	1551	440
779	1552	437
780	1554	435
781	1556	433
782	1558	431
783	1560	429
784	1562	427
785	1564	425
786	1566	423
787	1568	421
788	1570	419
789	1572	417
790	1574	415
791	1575	413
792	1577	411
793	1579	409
794	1581	407
795	1583	405
796	1585	403
797	1587	401
798	1589	399
799	1591	397
800	1593	395
801	1595	393
802	1597	391
803	1599	389
804	1601	387
805	1603	385
806	1605	383
807	1607	381
808	1609	379
809	1611	377
810	1612	375
811	1614	373
812	1616	371
813	1618	369
814	1620	367
815	1622	365
816	1624	363
817	1626	361
818	1628	359
819	1630	357
820	1632	355
821	1634	353
822	1636	351
823	1638	349
824	1639	347
825	1642	345
826	1643	343
827	1644	341
828	1646	339
829	1647	337
830	1649	335
831	1651	333
832	1653	331
833	1654	329
834	1656	327
835	1657	325
836	1659	323
837	1660	321
838	1662	319
839	1663	316
840	1665	314
841	1667	312
842	1668	310
843	1670	308
844	1671	306
845	1673	304
846	1675	302
847	1677	300
848	1678	298
849	1680	296
850	1682	294
851	1684	292
852	1685	290
853	1687	288
854	1689	286
855	1692	284
856	1694	282
857	1695	280
858	1697	278
859	1699	276
860	1701	274
861	1703	272
862	1705	270
863	1707	268
864	1709	266
865	1711	264
866	1714	262
867	1716	260
868	1717	258
869	1719	256
870	1721	255
871	1723	253
872	1725	251
873	1727	249
874	1729	247
875	1731	245
876	1734	243
877	1736	241
878	1738	239
879	1740	237
880	1742	235
881	1744	233
882	1746	231
883	1749	229
884	1751	227
885	1753	225
886	1755	223
887	1757	221
888	1759	219
889	1761	217
890	1763	215
891	1767	213
892	1770	212
893	1772	210
894	1775	208
895	1778	206
896	1780	204
897	1783	202
898	1790	201
899	1793	199
900	1802	198
901	1804	196
902	1806	194
903	1808	192
904	1810	190
905	1813	188
906	1823	187
907	1826	185
908	1828	183
909	1830	181
910	1833	179
911	1836	177
912	1837	175
913	1841	173
914	1844	171
915	1846	169
